Info 0    [17:10:10.695] Starting TS Server
Info 30   [17:10:27.223] Different program with same set of files:: structureIsReused:: 2
Info 31   [17:10:27.801] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [17:10:27.845] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 43.470452308654785ms
Info 33   [17:10:27.845] Different program with same set of files:: structureIsReused:: 2
Info 34   [17:10:28.106] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [17:10:28.153] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 46.28365516662598ms
Info 36   [17:10:28.153] Different program with same set of files:: structureIsReused:: 2
Info 37   [17:10:28.237] Before ensureProjectForOpenFiles:
Info 38   [17:10:28.237] After ensureProjectForOpenFiles:
Info 39   [17:10:28.237] got projects updated in background, updating diagnostics for /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/resources/js/router/index.js
Info 40   [17:10:28.896] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [17:10:28.941] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 44.956968784332275ms
Info 42   [17:10:28.941] Different program with same set of files:: structureIsReused:: 2
Info 43   [17:10:31.342] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [17:10:31.377] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 35.68917989730835ms
Info 45   [17:10:31.378] Different program with same set of files:: structureIsReused:: 2
Info 46   [17:10:31.774] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 47   [17:10:31.810] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 35.349403858184814ms
Info 48   [17:10:31.810] Different program with same set of files:: structureIsReused:: 2
Info 49   [17:10:32.004] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [17:10:32.033] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 29.05751895904541ms
Info 51   [17:10:32.033] Different program with same set of files:: structureIsReused:: 2
Info 52   [17:10:32.321] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [17:10:32.361] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 40.79165506362915ms
Info 54   [17:10:32.362] Different program with same set of files:: structureIsReused:: 2
Info 55   [17:10:32.442] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [17:10:32.476] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 33.624444007873535ms
Info 57   [17:10:32.476] Different program with same set of files:: structureIsReused:: 2
Info 58   [17:10:32.762] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 59   [17:10:32.801] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 38.72583723068237ms
Info 60   [17:10:32.801] Different program with same set of files:: structureIsReused:: 2
Info 61   [17:10:33.839] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 62   [17:10:33.877] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 38.09906816482544ms
Info 63   [17:10:33.877] Different program with same set of files:: structureIsReused:: 2
Info 64   [17:10:34.925] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 65   [17:10:34.960] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 34.519375801086426ms
Info 66   [17:10:34.960] Different program with same set of files:: structureIsReused:: 2
Info 67   [17:10:36.592] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 68   [17:10:36.632] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 40.32032299041748ms
Info 69   [17:10:36.632] Different program with same set of files:: structureIsReused:: 2
Info 70   [17:10:37.539] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 71   [17:10:37.576] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 36.44200277328491ms
Info 72   [17:10:37.576] Different program with same set of files:: structureIsReused:: 2
Info 73   [17:10:37.578] getCompletionData: Get current token: 0.027292728424072266
Info 74   [17:10:37.578] getCompletionData: Is inside comment: 0.01306295394897461
Info 75   [17:10:37.578] getCompletionData: Get previous token 1: 0.07388925552368164
Info 76   [17:10:37.578] getCompletionData: Get previous token 2: 0.0512852668762207
Info 77   [17:10:37.579] getCompletionsAtPosition: isCompletionListBlocker: 0.34805870056152344
Info 78   [17:10:37.586] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 79   [17:10:37.604] forEachExternalModuleToImportFrom: filtered out 134 modules by package.json contents
Info 80   [17:10:37.612] forEachExternalModuleToImportFrom: filtered out 23 modules by package.json contents
Info 81   [17:10:37.612] forEachExternalModuleToImportFrom autoImportProvider: 7.990973949432373
Info 82   [17:10:37.613] getSymbolsFromOtherSourceFileExports: 26.381810665130615
Info 83   [17:10:37.617] getCompletionData: Semantic work: 38.034095764160156
Info 84   [17:10:37.635] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.39080286026001
Info 85   [17:10:38.176] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 86   [17:10:38.216] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 39.88016939163208ms
Info 87   [17:10:38.216] Different program with same set of files:: structureIsReused:: 2
Info 88   [17:10:38.217] getCompletionData: Get current token: 0.019327163696289062
Info 89   [17:10:38.217] getCompletionData: Is inside comment: 0.02256011962890625
Info 90   [17:10:38.218] getCompletionData: Get previous token 1: 0.09152078628540039
Info 91   [17:10:38.218] getCompletionData: Get previous token 2: 0.06121110916137695
Info 92   [17:10:38.218] getCompletionsAtPosition: isCompletionListBlocker: 0.005223751068115234
Info 93   [17:10:38.225] getSymbolsFromOtherSourceFileExports: Using cached list
Info 94   [17:10:38.232] getCompletionData: Semantic work: 14.047665119171143
Info 95   [17:10:38.247] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.972818851470947
Info 96   [17:10:38.327] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 97   [17:10:38.358] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 30.96092128753662ms
Info 98   [17:10:38.358] Different program with same set of files:: structureIsReused:: 2
Info 99   [17:10:38.358] getCompletionData: Get current token: 0.018445968627929688
Info 100  [17:10:38.358] getCompletionData: Is inside comment: 0.005845069885253906
Info 101  [17:10:38.358] getCompletionData: Get previous token 1: 0.05813789367675781
Info 102  [17:10:38.359] getCompletionData: Get previous token 2: 0.04664182662963867
Info 103  [17:10:38.359] getCompletionsAtPosition: isCompletionListBlocker: 0.004141807556152344
Info 104  [17:10:38.364] getSymbolsFromOtherSourceFileExports: Using cached list
Info 105  [17:10:38.368] getCompletionData: Semantic work: 9.12643814086914
Info 106  [17:10:38.385] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.624692916870117
Info 107  [17:10:39.268] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 108  [17:10:39.308] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 40.44121313095093ms
Info 109  [17:10:39.309] Different program with same set of files:: structureIsReused:: 2
Info 110  [17:10:43.471] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 111  [17:10:43.559] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: true Elapsed: 87.00099229812622ms
Info 112  [17:10:43.559] Different program with same set of files:: structureIsReused:: 1
Info 113  [17:10:45.719] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [17:10:45.755] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 35.82878112792969ms
Info 115  [17:10:45.755] Different program with same set of files:: structureIsReused:: 2
Info 116  [17:10:46.689] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 117  [17:10:46.770] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 80.26353216171265ms
Info 118  [17:10:46.770] Different program with same set of files:: structureIsReused:: 2
Info 119  [17:10:46.771] getCompletionData: Get current token: 0.011092185974121094
Info 120  [17:10:46.771] getCompletionData: Is inside comment: 0.010701656341552734
Info 121  [17:10:46.771] getCompletionData: Get previous token 1: 0.04136228561401367
Info 122  [17:10:46.771] getCompletionData: Get previous token 2: 0.018629074096679688
Info 123  [17:10:46.771] getCompletionsAtPosition: isCompletionListBlocker: 0.004371166229248047
Info 124  [17:10:46.771] Returning an empty list because completion was requested in an invalid position.
Info 125  [17:10:46.776] getCompletionData: Get current token: 0.011055946350097656
Info 126  [17:10:46.776] getCompletionData: Is inside comment: 0.006175994873046875
Info 127  [17:10:46.776] getCompletionData: Get previous token 1: 0.026339054107666016
Info 128  [17:10:46.776] getCompletionData: Get previous token 2: 0.01885223388671875
Info 129  [17:10:46.776] getCompletionsAtPosition: isCompletionListBlocker: 0.004970073699951172
Info 130  [17:10:46.776] Returning an empty list because completion was requested in an invalid position.
Info 131  [17:10:46.780] getCompletionData: Get current token: 0.016364097595214844
Info 132  [17:10:46.780] getCompletionData: Is inside comment: 0.00892782211303711
Info 133  [17:10:46.780] getCompletionData: Get previous token 1: 0.030977725982666016
Info 134  [17:10:46.780] getCompletionData: Get previous token 2: 0.019224166870117188
Info 135  [17:10:46.781] getCompletionsAtPosition: isCompletionListBlocker: 0.005980968475341797
Info 136  [17:10:46.781] Returning an empty list because completion was requested in an invalid position.
Info 137  [17:10:47.609] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 138  [17:10:47.645] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 36.22550296783447ms
Info 139  [17:10:47.645] Different program with same set of files:: structureIsReused:: 2
Info 140  [17:10:47.646] getCompletionData: Get current token: 0.010445117950439453
Info 141  [17:10:47.646] getCompletionData: Is inside comment: 0.004868984222412109
Info 142  [17:10:47.646] getCompletionData: Get previous token 1: 0.027070999145507812
Info 143  [17:10:47.646] getCompletionData: Get previous token 2: 0.016303062438964844
Info 144  [17:10:47.646] getCompletionsAtPosition: isCompletionListBlocker: 0.0036721229553222656
Info 145  [17:10:47.646] Returning an empty list because completion was requested in an invalid position.
Info 146  [17:10:47.649] getCompletionData: Get current token: 0.011429309844970703
Info 147  [17:10:47.649] getCompletionData: Is inside comment: 0.00615692138671875
Info 148  [17:10:47.649] getCompletionData: Get previous token 1: 0.023148059844970703
Info 149  [17:10:47.649] getCompletionData: Get previous token 2: 0.015932083129882812
Info 150  [17:10:47.649] getCompletionsAtPosition: isCompletionListBlocker: 0.0047321319580078125
Info 151  [17:10:47.650] Returning an empty list because completion was requested in an invalid position.
Info 152  [17:10:47.652] getCompletionData: Get current token: 0.41443395614624023
Info 153  [17:10:47.653] getCompletionData: Is inside comment: 0.007163047790527344
Info 154  [17:10:47.653] getCompletionData: Get previous token 1: 0.026140213012695312
Info 155  [17:10:47.653] getCompletionData: Get previous token 2: 0.016032695770263672
Info 156  [17:10:47.653] getCompletionsAtPosition: isCompletionListBlocker: 0.007401943206787109
Info 157  [17:10:47.653] Returning an empty list because completion was requested in an invalid position.
Info 158  [17:10:51.708] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 159  [17:10:51.796] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: true Elapsed: 87.26227188110352ms
Info 160  [17:10:51.796] Different program with same set of files:: structureIsReused:: 1
Info 161  [17:10:52.422] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [17:10:52.520] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: true Elapsed: 98.22409391403198ms
Info 163  [17:10:52.520] Different program with same set of files:: structureIsReused:: 1
Info 164  [17:10:52.821] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 165  [17:10:52.904] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: true Elapsed: 83.07947397232056ms
Info 166  [17:10:52.904] Different program with same set of files:: structureIsReused:: 1
Info 167  [17:10:53.239] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 168  [17:10:53.309] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: true Elapsed: 69.7196102142334ms
Info 169  [17:10:53.309] Different program with same set of files:: structureIsReused:: 1
Info 170  [17:10:56.697] DirectoryWatcher:: Triggered with /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules/.cache/babel-loader/9b93e7f5fdf52455122338b4012f656d.json.gz :: WatchInfo: /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 171  [17:10:56.697] Elapsed:: 0.16005992889404297ms DirectoryWatcher:: Triggered with /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules/.cache/babel-loader/9b93e7f5fdf52455122338b4012f656d.json.gz :: WatchInfo: /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 172  [17:10:56.697] DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/9b93e7f5fdf52455122338b4012f656d.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 173  [17:10:56.697] Elapsed:: 0.14987802505493164ms DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/9b93e7f5fdf52455122338b4012f656d.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 174  [17:10:56.697] DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/9b93e7f5fdf52455122338b4012f656d.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 175  [17:10:56.697] Elapsed:: 0.022874832153320312ms DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/9b93e7f5fdf52455122338b4012f656d.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 176  [17:10:56.881] DirectoryWatcher:: Triggered with /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 177  [17:10:56.881] Elapsed:: 0.0330662727355957ms DirectoryWatcher:: Triggered with /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 178  [17:10:56.881] DirectoryWatcher:: Triggered with /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules/.cache/babel-loader/819c85595a5dc4ae1f7f33bf60e62124.json.gz :: WatchInfo: /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 179  [17:10:56.881] Elapsed:: 0.017593860626220703ms DirectoryWatcher:: Triggered with /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules/.cache/babel-loader/819c85595a5dc4ae1f7f33bf60e62124.json.gz :: WatchInfo: /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 180  [17:10:56.881] DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 181  [17:10:56.881] Elapsed:: 0.02728414535522461ms DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 182  [17:10:56.881] DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/819c85595a5dc4ae1f7f33bf60e62124.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 183  [17:10:56.881] Elapsed:: 0.020804405212402344ms DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/819c85595a5dc4ae1f7f33bf60e62124.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 184  [17:10:56.881] DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 185  [17:10:56.881] Elapsed:: 0.018986225128173828ms DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 186  [17:10:56.881] DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/819c85595a5dc4ae1f7f33bf60e62124.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 187  [17:10:56.881] Elapsed:: 0.01729106903076172ms DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/819c85595a5dc4ae1f7f33bf60e62124.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 188  [17:10:56.927] DirectoryWatcher:: Triggered with /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 189  [17:10:56.927] Elapsed:: 0.03536796569824219ms DirectoryWatcher:: Triggered with /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /users/karlhex/workspace/src/flyingwings/flyingerp/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 190  [17:10:56.927] DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 191  [17:10:56.927] Elapsed:: 0.027817249298095703ms DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 192  [17:10:56.927] DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 193  [17:10:56.927] Elapsed:: 0.026731014251708984ms DirectoryWatcher:: Triggered with /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules/.cache/babel-loader/fe7ca98e133cb97a20ded2d32334a24b.json.gz :: WatchInfo: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 194  [17:11:00.565] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [17:11:00.629] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 63.72277212142944ms
Info 196  [17:11:00.629] Different program with same set of files:: structureIsReused:: 2
Info 197  [17:11:01.587] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [17:11:01.648] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 61.21594190597534ms
Info 199  [17:11:01.649] Different program with same set of files:: structureIsReused:: 2
Info 200  [17:11:01.649] getCompletionData: Get current token: 0.01064300537109375
Info 201  [17:11:01.649] getCompletionData: Is inside comment: 0.006041049957275391
Info 202  [17:11:01.650] getCompletionData: Get previous token 1: 0.039605140686035156
Info 203  [17:11:01.650] getCompletionData: Get previous token 2: 0.018478870391845703
Info 204  [17:11:01.650] getCompletionsAtPosition: isCompletionListBlocker: 0.020923614501953125
Info 205  [17:11:01.650] Returning an empty list because completion was requested in an invalid position.
Info 206  [17:11:01.650] getCompletionData: Get current token: 0.008586883544921875
Info 207  [17:11:01.650] getCompletionData: Is inside comment: 0.006699085235595703
Info 208  [17:11:01.651] getCompletionData: Get previous token 1: 0.7201962471008301
Info 209  [17:11:01.651] getCompletionData: Get previous token 2: 0.024157047271728516
Info 210  [17:11:01.651] getCompletionsAtPosition: isCompletionListBlocker: 0.005772113800048828
Info 211  [17:11:01.651] Returning an empty list because completion was requested in an invalid position.
Info 212  [17:11:01.651] getCompletionData: Get current token: 0.007787227630615234
Info 213  [17:11:01.651] getCompletionData: Is inside comment: 0.004960060119628906
Info 214  [17:11:01.651] getCompletionData: Get previous token 1: 0.021718978881835938
Info 215  [17:11:01.651] getCompletionData: Get previous token 2: 0.01703786849975586
Info 216  [17:11:01.651] getCompletionsAtPosition: isCompletionListBlocker: 0.0037779808044433594
Info 217  [17:11:01.651] Returning an empty list because completion was requested in an invalid position.
Info 218  [17:11:02.079] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 219  [17:11:02.140] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 61.46959161758423ms
Info 220  [17:11:02.141] Different program with same set of files:: structureIsReused:: 2
Info 221  [17:11:02.142] getCompletionData: Get current token: 0.010993003845214844
Info 222  [17:11:02.142] getCompletionData: Is inside comment: 0.010130882263183594
Info 223  [17:11:02.142] getCompletionData: Get previous token 1: 0.04375886917114258
Info 224  [17:11:02.142] getCompletionData: Get previous token 2: 0.02092266082763672
Info 225  [17:11:02.142] getCompletionsAtPosition: isCompletionListBlocker: 0.008622169494628906
Info 226  [17:11:02.142] Returning an empty list because completion was requested in an invalid position.
Info 227  [17:11:02.170] getCompletionData: Get current token: 0.011001110076904297
Info 228  [17:11:02.171] getCompletionData: Is inside comment: 0.039212703704833984
Info 229  [17:11:02.171] getCompletionData: Get previous token 1: 0.07179403305053711
Info 230  [17:11:02.171] getCompletionData: Get previous token 2: 0.02953195571899414
